IP,Host,Port,Subject_CN,Issuer_CN,SAN,Pubkey_Type,Pubkey_Bits,Sig_Algo,NotBefore,NotAfter,Validity_Days,Days_Remaining,Fingerprint,source
185.26.115.38,,443,www.mfms.com,Thawte RSA CA 2018,mfms.com;www.mfms.com,rsa,2048,sha256WithRSAEncryption,2019-06-06T00:00:00,2021-06-05T12:00:00,730,-1631,e85ffbdec78f9bd8116c9808feee713e0e972d49233209b1832d93336a685610,nmap
185.39.208.69,,443,pro-web01.dns.pt,pro-web01.dns.pt,,rsa,2048,sha256WithRSAEncryption,2015-01-09T18:43:14,2016-01-09T18:43:14,365,-3605,2ae75428bf4dbdd65304e8295ba9012730c19c15cb021f5d6ee585e65ba8cf9d,nmap
193.168.47.254,,443,beget2020.com,R3,*.beget2020.com;beget2020.com,rsa,2048,sha256WithRSAEncryption,2023-11-14T23:15:03,2024-02-12T23:15:02,89,-648,8675cb09d96050998fa6bcd951bab44bd7c175057fcbb1f5e17e47057766ae0f,nmap
194.0.219.107,,443,*.rosminzdrav.ru,Sectigo RSA Domain Validation Secure Server CA,*.rosminzdrav.ru;rosminzdrav.ru,rsa,4096,sha256WithRSAEncryption,2021-09-09T00:00:00,2022-09-09T23:59:59,365,-1169,659f8aa7d51bd28fa22735d6186ad0fb083c04a59501a70613e18fe43c7c5076,nmap
194.14.207.121,,443,inleed.eu,R3,inleed.eu;www.inleed.eu,rsa,4096,sha256WithRSAEncryption,2023-01-16T22:18:13,2023-04-16T22:18:12,89,-950,6a01dfe6daa35c192c44cc34bfac0fe2c0e775781b4560fca96eb9d465f082a1,nmap
198.27.92.1,,443,ovh.cloud,COMODO RSA Domain Validation Secure Server CA,ovh.cloud;www.ovh.cloud,rsa,2048,sha256WithRSAEncryption,2016-10-10T00:00:00,2019-10-10T23:59:59,1095,-2234,613a227c90535d632afd6e6c1b571fa3be83fd82fb12317b72bbde12a3499891,nmap
199.232.193.246,,443,wahooreview.com,(STAGING) Artificial Apricot R3,wahooreview.com,rsa,2048,sha256WithRSAEncryption,2023-05-31T22:50:40,2023-08-29T22:50:39,89,-815,785d3d3c91b086bfd7f93dfa883d1730ade87bb61326fff941ca199589999926,nmap
199.232.194.154,,443,*.mt.redventures.io,R11,*.mt.redventures.io,rsa,2048,sha256WithRSAEncryption,2025-03-02T01:53:11,2025-05-31T01:53:10,89,-175,3a7d9ddc421e607ce499082ae17d29af6ce54eef9ac6636d7090bcae4bdde6fa,nmap
199.232.198.154,,443,*.mt.redventures.io,R11,*.mt.redventures.io,rsa,2048,sha256WithRSAEncryption,2025-03-02T01:53:11,2025-05-31T01:53:10,89,-175,3a7d9ddc421e607ce499082ae17d29af6ce54eef9ac6636d7090bcae4bdde6fa,nmap
202.226.36.238,,443,www.xserver.ne.jp,GeoTrust RSA CA 2018,www.xserver.ne.jp;xserver.ne.jp,rsa,2048,sha256WithRSAEncryption,2018-03-08T00:00:00,2019-01-30T12:00:00,328,-2488,fd2fa628783fe578755353fd812f2b1b652b2fedf5be1d0f654fa9e83e1c9695,nmap
210.140.64.86,,443,dlsite.com,E6,dlsite.com;dlsite.ne.jp,ec,256,ecdsa-with-SHA384,2025-08-14T05:59:21,2025-11-12T05:59:20,89,-10,e39275244fcdba34ba9ec44eefec43efc1da98d336e5e6ccbafd097b513a42e6,nmap
212.164.140.153,,443,PTAppFirewall,PTAppFirewall,,rsa,2048,sha256WithRSAEncryption,2022-11-30T09:50:04,2023-11-30T09:50:04,365,-723,1b2d9ba5c3d361d3bbce40666555229b7abbe6ae0aacdae3fd5b17b32346ca79,nmap
218.13.19.143,,443,auto.gmcc-welling.com,TrustAsia RSA OV TLS CA G3,auto.gmcc-welling.com;midea-geardrive.servotronix.cn;www.hiconics.com;www.mrsemicn.com;www.msct.com;www.wellingmotor.com,rsa,2048,sha384WithRSAEncryption,2024-05-28T00:00:00,2025-06-18T23:59:59,386,-156,4f3fd608ce6cd98a6606e47ced5c34e9fc914f27ca8db45df708eb3a2a2ec7f1,nmap
23.22.10.20,,443,aqui.news,R10,aqui.news,rsa,2048,sha256WithRSAEncryption,2025-01-01T00:06:33,2025-04-01T00:06:32,89,-235,6be34db0a3c1711e89a02998776621f11eebed0b1ea43ace97e3cc377a361b4f,nmap
34.100.228.127,,443,*.doubtnut.com,RapidSSL TLS RSA CA G1,*.doubtnut.com;doubtnut.com,rsa,2048,sha256WithRSAEncryption,2024-02-19T00:00:00,2025-02-18T23:59:59,365,-276,f8c258bbc35ae3d4ab165be20233504369311160e39b10e0c298a2b60b24af58,nmap
34.160.228.132,,443,*.dv.tech,Go Daddy Secure Certificate Authority - G2,*.dv.tech;dv.tech,rsa,2048,sha256WithRSAEncryption,2023-07-31T13:20:35,2024-04-27T20:17:34,271,-574,c0f126911b72420dceba0b641f82ab6a3442942a6a5aac75b333abf1c1d3fbac,nmap
34.93.52.48,,443,ulr-redirection-omh-app-feeds1,ulr-redirection-omh-app-feeds1,,rsa,2048,sha256WithRSAEncryption,2019-11-21T12:29:08,2020-11-20T12:29:08,365,-1828,1c5564ae415cf2717ff70d820da4edef9734c20d23311df3263f1bf155b30f0c,nmap
36.51.254.91,,443,sina.com,GeoTrust CN RSA CA G1,*.ad.sina.com.cn;*.adbox.sina.com.cn;*.api.sina.cn;*.api.weibo.com;*.astro.sina.com.cn;*.auto.sina.com.cn;*.biz.weibo.com;*.blog.sina.com.cn;*.city.sina.com.cn;*.cj.sina.cn;*.cj.sina.com.cn;*.data.weipan.cn;*.dmp.sina.cn;*.edu.sina.com.cn;*.ent.sina.com.cn;*.finance.sina.com.cn;*.fund.sina.com.cn;*.im.weibo.cn;*.ivideo.sina.com.cn;*.mail.sina.com.cn;*.mix.sina.com.cn;*.music.sina.com.cn;*.news.sina.com.cn;*.passport.weibo.cn;*.passport.weibo.com;*.photo.sina.com.cn;*.sc.weibo.com;*.sina.cn;*.sina.com;*.sina.com.cn;*.sina.net;*.sinaimg.cn;*.sinajs.cn;*.sjs.sinajs.cn;*.sports.sina.com.cn;*.storage.weibo.com;*.t.sinajs.cn;*.tech.sina.com.cn;*.tv.weibo.cn;*.us.sinaimg.cn;*.uve.weibo.com;*.video.sina.com.cn;*.weibo.cn;*.weibo.com;api.slide.news.sina.com.cn;cre.dp.sina.cn;i.sso.sina.com.cn;img.dmp.sina.com.cn;img.star.weibo.com;int.dpool.sina.com.cn;m.beacon.sina.com.cn;p.you.video.sina.com.cn;sina.cn;sina.com;sina.com.cn;sina.net;sinaimg.cn;t.cn;vip.stock.finance.sina.com.cn;wk.impress.sinaimg.cn;www.sina.com,rsa,2048,sha256WithRSAEncryption,2023-11-29T00:00:00,2024-12-29T23:59:59,396,-327,41b7b482e92e28ae2eac4efcf50cec7606b706460d984c8270aceac3a5eea8c5,nmap
45.60.206.209,,443,digicert.com,DigiCert SHA2 Extended Validation Server CA,content.digicert.com;digicert.com;freessl.com;geotrust.com;kb-internal.digicert.com;kh.digicert.com;knowledge.digicert.com;knowledgebase.digicert.com;knowledgehub.digicert.com;rapidssl.com;thawte.com;thawte.de;thawte.fr;websecurity.digicert.com;www.digicert.com;www.freessl.com;www.geotrust.com;www.rapidssl.com;www.thawte.com;www.thawte.de;www.thawte.fr;www.websecurity.digicert.com,rsa,2048,sha256WithRSAEncryption,2019-12-04T00:00:00,2021-12-08T12:00:00,735,-1445,ad20ed0e73d4a65b805d4df611c968b2f8e7c91aa47f5a940ff1f226e9768fca,nmap
46.28.234.143,,443,eh-gold-666.localhost.localdomain,eh-gold-666.localhost.localdomain,,rsa,4096,sha256WithRSAEncryption,2024-06-15T23:43:58,2025-06-15T23:43:58,365,-159,d4453aae25e0c7ffba36fbfcb092c3f62990a48c2e65645cb87d1bd4234dbaee,nmap
5.154.240.65,,443,*.upress.io,Sectigo RSA Domain Validation Secure Server CA,*.upress.io;upress.io,rsa,2048,sha256WithRSAEncryption,2024-10-20T00:00:00,2025-11-20T23:59:59,396,-1,d9e1eb1ab0920a19a9625a2579e194ebc72c22c587e4a053f2713288aad3838a,nmap
