IP,Host,Port,Subject_CN,Issuer_CN,SAN,Pubkey_Type,Pubkey_Bits,Sig_Algo,NotBefore,NotAfter,Validity_Days,Days_Remaining,Fingerprint,source
185.207.236.116,,443,*.amp.xhamster.com,R12,*.amp.xhamster.com;*.m.xhamster.com;*.static.stage.xhamster.com;*.upload.stage.xhamster.com;*.xhamster.com;xhamster.com,rsa,2048,sha256WithRSAEncryption,2025-09-17T03:03:35,2025-12-16T03:03:34,89,24,eb0ca1f29553de847fb92cf2340b19cf0575c84aabdf8e2d3b33673422224aad,nmap
185.207.236.137,,443,*.amp.xhamster.com,R12,*.amp.xhamster.com;*.m.xhamster.com;*.static.stage.xhamster.com;*.upload.stage.xhamster.com;*.xhamster.com;xhamster.com,rsa,2048,sha256WithRSAEncryption,2025-09-17T03:03:35,2025-12-16T03:03:34,89,24,eb0ca1f29553de847fb92cf2340b19cf0575c84aabdf8e2d3b33673422224aad,nmap
185.207.236.209,,443,*.amp.xhamster.com,R12,*.amp.xhamster.com;*.m.xhamster.com;*.static.stage.xhamster.com;*.upload.stage.xhamster.com;*.xhamster.com;xhamster.com,rsa,2048,sha256WithRSAEncryption,2025-09-17T03:03:35,2025-12-16T03:03:34,89,24,eb0ca1f29553de847fb92cf2340b19cf0575c84aabdf8e2d3b33673422224aad,nmap
185.207.236.79,,443,*.amp.xhamster.com,R12,*.amp.xhamster.com;*.m.xhamster.com;*.static.stage.xhamster.com;*.upload.stage.xhamster.com;*.xhamster.com;xhamster.com,rsa,2048,sha256WithRSAEncryption,2025-09-17T03:03:35,2025-12-16T03:03:34,89,24,eb0ca1f29553de847fb92cf2340b19cf0575c84aabdf8e2d3b33673422224aad,nmap
185.207.236.86,,443,*.amp.xhamster.com,R12,*.amp.xhamster.com;*.m.xhamster.com;*.static.stage.xhamster.com;*.upload.stage.xhamster.com;*.xhamster.com;xhamster.com,rsa,2048,sha256WithRSAEncryption,2025-09-17T03:03:35,2025-12-16T03:03:34,89,24,eb0ca1f29553de847fb92cf2340b19cf0575c84aabdf8e2d3b33673422224aad,nmap
185.73.220.204,,443,actionviewphotography.com,E7,*.actionviewphotography.com;actionviewphotography.com,ec,256,ecdsa-with-SHA384,2025-09-20T05:07:32,2025-12-19T05:07:31,89,27,2d03b105085381e455abd99cccb6002d8df0ad92827d3a2226c9213a30ef6bdb,nmap
185.88.181.56,,443,*.xnxx.com,Sectigo RSA Domain Validation Secure Server CA,*.xnxx.com;xnxx.com,rsa,2048,sha256WithRSAEncryption,2024-11-14T00:00:00,2025-12-15T23:59:59,396,24,2d64093ce5e633648cb0c605265b2000f9b3f0aad3ec4e8d37b394fabdf72afa,nmap
185.88.181.58,,443,*.xnxx.com,Sectigo RSA Domain Validation Secure Server CA,*.xnxx.com;xnxx.com,rsa,2048,sha256WithRSAEncryption,2024-11-14T00:00:00,2025-12-15T23:59:59,396,24,2d64093ce5e633648cb0c605265b2000f9b3f0aad3ec4e8d37b394fabdf72afa,nmap
192.0.66.108,,443,go-vip.co,E7,*.go-vip.co;go-vip.co,ec,256,ecdsa-with-SHA384,2025-09-15T19:44:10,2025-12-14T19:44:09,89,22,62c9ae6a8da5922ff2d1b8d91b578e6297219458ae448b105baffceb39f28864,nmap
192.0.66.114,,443,go-vip.co,E7,*.go-vip.co;go-vip.co,ec,256,ecdsa-with-SHA384,2025-09-15T19:44:10,2025-12-14T19:44:09,89,22,62c9ae6a8da5922ff2d1b8d91b578e6297219458ae448b105baffceb39f28864,nmap
192.0.66.136,,443,go-vip.co,E7,*.go-vip.co;go-vip.co,ec,256,ecdsa-with-SHA384,2025-09-15T19:44:10,2025-12-14T19:44:09,89,22,62c9ae6a8da5922ff2d1b8d91b578e6297219458ae448b105baffceb39f28864,nmap
192.0.66.16,,443,go-vip.co,E7,*.go-vip.co;go-vip.co,ec,256,ecdsa-with-SHA384,2025-09-15T19:44:10,2025-12-14T19:44:09,89,22,62c9ae6a8da5922ff2d1b8d91b578e6297219458ae448b105baffceb39f28864,nmap
192.0.66.176,,443,go-vip.co,E7,*.go-vip.co;go-vip.co,ec,256,ecdsa-with-SHA384,2025-09-15T19:44:10,2025-12-14T19:44:09,89,22,62c9ae6a8da5922ff2d1b8d91b578e6297219458ae448b105baffceb39f28864,nmap
192.0.66.177,,443,go-vip.co,E7,*.go-vip.co;go-vip.co,ec,256,ecdsa-with-SHA384,2025-09-15T19:44:10,2025-12-14T19:44:09,89,22,62c9ae6a8da5922ff2d1b8d91b578e6297219458ae448b105baffceb39f28864,nmap
192.0.66.182,,443,go-vip.co,E7,*.go-vip.co;go-vip.co,ec,256,ecdsa-with-SHA384,2025-09-15T19:44:10,2025-12-14T19:44:09,89,22,62c9ae6a8da5922ff2d1b8d91b578e6297219458ae448b105baffceb39f28864,nmap
192.0.66.184,,443,go-vip.co,E7,*.go-vip.co;go-vip.co,ec,256,ecdsa-with-SHA384,2025-09-15T19:44:10,2025-12-14T19:44:09,89,22,62c9ae6a8da5922ff2d1b8d91b578e6297219458ae448b105baffceb39f28864,nmap
192.0.66.2,,443,go-vip.co,E7,*.go-vip.co;go-vip.co,ec,256,ecdsa-with-SHA384,2025-09-15T19:44:10,2025-12-14T19:44:09,89,22,62c9ae6a8da5922ff2d1b8d91b578e6297219458ae448b105baffceb39f28864,nmap
192.0.66.20,,443,go-vip.co,E7,*.go-vip.co;go-vip.co,ec,256,ecdsa-with-SHA384,2025-09-15T19:44:10,2025-12-14T19:44:09,89,22,62c9ae6a8da5922ff2d1b8d91b578e6297219458ae448b105baffceb39f28864,nmap
192.0.66.220,,443,go-vip.co,E7,*.go-vip.co;go-vip.co,ec,256,ecdsa-with-SHA384,2025-09-15T19:44:10,2025-12-14T19:44:09,89,22,62c9ae6a8da5922ff2d1b8d91b578e6297219458ae448b105baffceb39f28864,nmap
192.0.66.226,,443,go-vip.co,E7,*.go-vip.co;go-vip.co,ec,256,ecdsa-with-SHA384,2025-09-15T19:44:10,2025-12-14T19:44:09,89,22,62c9ae6a8da5922ff2d1b8d91b578e6297219458ae448b105baffceb39f28864,nmap
192.0.66.24,,443,go-vip.co,E7,*.go-vip.co;go-vip.co,ec,256,ecdsa-with-SHA384,2025-09-15T19:44:10,2025-12-14T19:44:09,89,22,62c9ae6a8da5922ff2d1b8d91b578e6297219458ae448b105baffceb39f28864,nmap
192.0.66.5,,443,go-vip.co,E7,*.go-vip.co;go-vip.co,ec,256,ecdsa-with-SHA384,2025-09-15T19:44:10,2025-12-14T19:44:09,89,22,62c9ae6a8da5922ff2d1b8d91b578e6297219458ae448b105baffceb39f28864,nmap
192.0.66.51,,443,go-vip.co,E7,*.go-vip.co;go-vip.co,ec,256,ecdsa-with-SHA384,2025-09-15T19:44:10,2025-12-14T19:44:09,89,22,62c9ae6a8da5922ff2d1b8d91b578e6297219458ae448b105baffceb39f28864,nmap
192.0.66.69,,443,go-vip.co,E7,*.go-vip.co;go-vip.co,ec,256,ecdsa-with-SHA384,2025-09-15T19:44:10,2025-12-14T19:44:09,89,22,62c9ae6a8da5922ff2d1b8d91b578e6297219458ae448b105baffceb39f28864,nmap
192.0.66.96,,443,go-vip.co,E7,*.go-vip.co;go-vip.co,ec,256,ecdsa-with-SHA384,2025-09-15T19:44:10,2025-12-14T19:44:09,89,22,62c9ae6a8da5922ff2d1b8d91b578e6297219458ae448b105baffceb39f28864,nmap
192.0.78.24,,443,wordpress.com,E7,*.wordpress.com;wordpress.com,ec,256,ecdsa-with-SHA384,2025-09-09T19:45:21,2025-12-08T19:45:20,89,16,f5e7ad291f31b1a2a42c80f83995878a2710854a0ab7add26fee8d1a6eefc6a2,nmap
192.0.78.9,,443,wordpress.com,E7,*.wordpress.com;wordpress.com,ec,256,ecdsa-with-SHA384,2025-09-09T19:45:21,2025-12-08T19:45:20,89,16,f5e7ad291f31b1a2a42c80f83995878a2710854a0ab7add26fee8d1a6eefc6a2,nmap
193.200.227.13,,443,*.filmweb.pl,R13,*.filmweb.pl;filmweb.pl,rsa,2048,sha256WithRSAEncryption,2025-09-22T01:42:15,2025-12-21T01:42:14,89,29,a63dc358949732bcce931d37ce003546c8bfc672c8ce5c2b05ad6aaf21e0025f,nmap
199.27.116.69,,443,*.harman.com,Sectigo RSA Organization Validation Secure Server CA,*.harman.com;harman.com,rsa,2048,sha256WithRSAEncryption,2024-11-27T00:00:00,2025-11-27T23:59:59,365,6,f1fc44a6fe8a270e18aa40aa9f9998f34b4814090e9e939e476a3785f480c005,nmap
20.204.244.192,,443,*.duckduckgo.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,*.duckduckgo.com;duckduckgo.com,rsa,2048,sha256WithRSAEncryption,2025-08-26T00:00:00,2025-12-19T23:59:59,115,28,5dbd67c1ef7489ac1ab9201ab43e0dec3b7317e57ea0b2a3e7a796c96b12e43e,nmap
204.144.181.151,,443,*.starfall.com,Go Daddy Secure Certificate Authority - G2,*.starfall.com;starfall.com,rsa,2048,sha256WithRSAEncryption,2024-11-06T17:27:27,2025-12-08T17:27:27,397,16,41c18a725bd384d8c40554bb7a66542d10dd8f899e2daa20b188398a96d004f3,nmap
204.68.196.12,,443,dot.gov,Entrust OV TLS Issuing RSA CA 1,382reporting.ost.dot.gov;airconsumer.dot.gov;animalreport.ost.dot.gov;dot.gov;filingtarmacdelayplan.dot.gov;grants.ost.dot.gov;phmsa.dot.gov;websiteaccessibility.dot.gov;www.dot.gov,rsa,2048,sha256WithRSAEncryption,2024-11-19T21:26:54,2025-12-14T16:10:27,389,22,2f90a7a4261b42cce6a582bd9f675842121843bbd0229496eeb0025eca476266,nmap
210.140.139.152,,443,*.pixiv.net,GlobalSign RSA OV SSL CA 2018,*.fanbox.cc;*.pixiv.net;fanbox.cc;oauth.secure.pixiv.net;pixiv.me;pixiv.net;public-api.secure.pixiv.net;www.pixivision.net,rsa,2048,sha256WithRSAEncryption,2024-11-13T07:09:31,2025-12-15T07:09:30,396,23,6cbf0bafe26e755e85d1ada40475a7488ae81e2134ccfa93276fc9e8d88742e0,nmap
